python_file,python_symbol,py_args,py_ret,rust_file,rust_symbol,rust_args,rust_ret,struct_flag,audit,deviation,commit,py_parity,notes
data/dataloader.py,LFM2DataLoader.__init__,"(dataset_path: str, context_length: int)",None,data/dataloader.rs,LFM2DataLoader::new,"(impl Into < std :: path :: PathBuf >, usize, Vec < RawRow >, Device)",Self,ok,FAITHFUL,ctor-split,—,,inline load split into new(rows)+load_from_disk(path); device explicit; DEFAULT_CONTEXT_LENGTH=4096
data/dataloader.py,LFM2DataLoader.__len__,(),int,data/dataloader.rs,LFM2DataLoader::len,(),usize,ok,FAITHFUL,—,—,,len(dataset)==rows.len()
data/dataloader.py,LFM2DataLoader.__getitem__,(idx: int),LFM2AudioRow,data/dataloader.rs,LFM2DataLoader::get,(usize),Result < LFM2AudioRow >,ok,FIXED,dtype int64->u32,7fccde8,,padding dims/values + overlong-check faithful; was narrowing long->U32 fixed to I64; supervision bool->U8 (no candle bool)
data/dataloader.py,lfm2_collator,(batch: list[LFM2AudioRow]),LFM2AudioModelInput,data/dataloader.rs,lfm2_collator,(& [LFM2AudioRow]),Result < LFM2AudioModelInput >,ok,FAITHFUL,—,—,,all 6 torch.cat dims match (audio_in/text/audio_out dim=1; lens/modality/supervision dim=0)
data/mapper.py,LFM2AudioChatMapper.__init__,"(processor: LFM2AudioProcessor, codebooks: int, interleaved_text_tokens: int, interleaved_audio_tokens: int)",None,data/mapper.rs,LFM2AudioChatMapper < 'a >::new,"(& 'a LFM2AudioProcessor, usize, usize, usize)",Self,ok,FAITHFUL,—,—,,codebooks + interleave knobs
data/mapper.py,LFM2AudioChatMapper.__call__,(messages: list[ChatMessage]),LFM2AudioTrainingSample,data/mapper.rs,LFM2AudioChatMapper < 'a >::call,(& [ChatMessage]),Result < LFM2AudioTrainingSample >,ok,FIXED,dtype int64->u32,7fbfa1f,,control flow (startoftext/im_start/segments/im_end + 3 cats) faithful; finish casts text/audio_out to I64
data/mapper.py,LFM2AudioChatMapper._append_interleaved_out,"(text: str, audio: bytes, text_parts: list[torch.Tensor], audio_out_parts: list[torch.Tensor], modality_seq: list[int], supervision_seq: list[bool])",None,data/mapper.rs,LFM2AudioChatMapper < 'a >::append_interleaved_out,"(& InterleavedSegment, & mut Acc)",Result < () >,ARITY py6/rs2,FIXED,dtype int64->u32,7fbfa1f,,push text/audio_out parts; modality i64
data/mapper.py,LFM2AudioChatMapper._append_text,"(text: str, supervised: bool, text_parts: list[torch.Tensor], modality_seq: list[int], supervision_seq: list[bool])",None,data/mapper.rs,LFM2AudioChatMapper < 'a >::append_text,"(& str, bool, & mut Acc)",Result < () >,ARITY py5/rs3,FIXED,dtype int64->u32,7fbfa1f,,modality as i64; out-params grouped to &mut Acc
data/mapper.py,LFM2AudioChatMapper._append_audio_in,"(wav: torch.Tensor, sampling_rate: int, mel_parts: list[torch.Tensor], audio_in_lens: list[int], modality_seq: list[int], supervision_seq: list[bool])",None,data/mapper.rs,LFM2AudioChatMapper < 'a >::append_audio_in,"(& Tensor, u32, & mut Acc)",Result < () >,ARITY py6/rs3,FIXED,dtype int64->u32,7fbfa1f,,resample+mel; lens/modality i64 (real work not stub)
data/mapper.py,LFM2AudioChatMapper._append_audio_out,"(wav: torch.Tensor, sampling_rate: int, audio_out_parts: list[torch.Tensor], modality_seq: list[int], supervision_seq: list[bool])",None,data/mapper.rs,LFM2AudioChatMapper < 'a >::append_audio_out,"(& Tensor, u32, & mut Acc)",Result < () >,ARITY py5/rs3,FIXED,dtype int64->u32,7fbfa1f,,mimi.encode codes + EOAudio frame; modality i64
